nome,endereco,latitude,longitude,cidade
Shopping São Brás,"Av. Alm. Barroso, N° 71 - São Brás, Belém",-1.4474512,-48.4662301,Ananindeua
Golden Shopping,"Avenida: Comandante Brás De Aguiar, 492 Loja 17 Golden Shopping - Nazaré, Belém",-1.4548156,-48.4874059,Ananindeua
Shopping João Alfredo centro de compras,"comércio Rua Conselheiro João Alfredo n°236 / corredor B, Box 10 - Campina, Belém",-1.4525425,-48.5012708,Belém
Flamboyant Shopping Center,"Av. Dep. Jamel Cecílio, 3300 - Jardim Goiás, Goiânia",-16.7102509,-49.2370077,Aparecida de Goiânia
Passeio das Águas Shopping,"Av. Perimetral Norte, 8303 - Fazenda Caveiras, Goiânia",-16.6295282,-49.278692,Aparecida de Goiânia
Goiânia Shopping,"Av. T-10, 1300 - St. Bueno, Goiânia",-16.7083507,-49.272809,Aparecida de Goiânia
Araguaia Shopping,"R. 44, 399 - St. Central, Goiânia",-16.6594981,-49.2596923,Aparecida de Goiânia
Shopping Cerrado,"Av. Anhanguera, 10790 - Aeroviario, Goiânia",-16.6663008,-49.3084551,Aparecida de Goiânia
Shopping Cidade Jardim,"Av. Nero Macedo, 400 - Cidade Jardim, Goiânia",-16.6829171,-49.3140904,Aparecida de Goiânia
Shopping Estação Goiânia,"Av. Goiás, 2151 - Centro, Goiânia",-16.6613126,-49.26186329999999,Aparecida de Goiânia
Metropolitan Mall,"Av. Dep. Jamel Cecílio, 2690 - Jardim Goiás, Goiânia",-16.7048658,-49.2413554,Aparecida de Goiânia
Buriti Shopping,"Av. Rio Verde, Qd 102/104 - Vila Sao Tomaz, Aparecida de Goiânia",-16.7419767,-49.2770112,Aparecida de Goiânia
Aparecida Shopping,"Av. Independência - Quadra Área - Lote 01 - S/N - Setor Serra Dourada 3ª Etapa, Aparecida de Goiânia",-16.8232248,-49.2514464,Aparecida de Goiânia
Portal Shopping,"Av. Anhanguera, 14404 - Capuava, Goiânia",-16.6542534,-49.32938350000001,Aparecida de Goiânia
Shopping Bougainville,"R. 9, 1855 - St. Marista, Goiânia",-16.6955456,-49.2654278,Aparecida de Goiânia
Brasil Park Shopping,"Av. Brasil Norte, 505 - Centro, Anápolis",-16.3242458,-48.9489555,Goiânia
Plaza D'oro Shopping,"Shopping Plaza D'oro, Av. Nápoli, 500 - Res. Eldorado, Goiânia",-16.7074411,-49.3281099,Aparecida de Goiânia
Buena Vista Shopping,"Av. T-4, 466 - St. Bueno, Goiânia",-16.7105762,-49.2677901,Aparecida de Goiânia
Plural Street Mall,"Av. dos Alpes - Jardim Europa, Goiânia",-16.7110495,-49.3139151,Aparecida de Goiânia
Portal Sul Shopping,"GO-040 - Jardins Lisboa, Goiânia",-16.7707041,-49.3518619,Aparecida de Goiânia
Marista Center Mall,"Av. 85, 1760 - St. Marista, Goiânia",-16.6971188,-49.2650193,Aparecida de Goiânia
Alpha Mall,"Av. Alphaville Flamboyant - Res. Alphaville Flamboyant, Goiânia",-16.7142973,-49.2014082,Aparecida de Goiânia
Shopping Perimetral Open Mall,"Av. Perimetral Norte n. 3673 Shopping Perimetral Open Mall - St. Vila João Vaz, Goiânia",-16.6438007,-49.3078181,Aparecida de Goiânia
Shopping Ibirapuera,"Av. Ibirapuera, 3103 - Indianópolis, São Paulo",-23.6104933,-46.6659844,São Vicente
Shopping Iguatemi Campinas,"Av. Iguatemi, 777 - Vila Brandina, Campinas",-22.8926428,-47.02726759999999,Campinas
Campinas Shopping,"R. Jacy Teixeira de Camargo, 940 - Jardim do Lago, Campinas",-22.9318768,-47.0767617,Campinas
Galleria Shopping,"Av. Bailarina Selma Parada, s/n - Jardim Nilópolis, Campinas",-22.8634858,-47.02330240000001,Campinas
Shopping Parque Dom Pedro,"Av. Guilherme Campos, 500 - Jardim Santa Genebra, Campinas",-22.8475663,-47.06310449999999,Campinas
Unimart Shopping Campinas,"Av. Império do Sol Nascente, 350 - Chácara da República, Campinas",-22.908659,-47.0949147,Campinas
